Name,Team,Position,,Price,Prediction,My Prediction,Final Predict,DO NOT FILTER
David MacKay,Adelaide,['Defender'],Defender,362100,65.62265016,,65.62265016,
David Mirra,Hawthorn,['Defender'],Defender,339600,69,,69,
David Mundy,Fremantle,"['Midfield', 'Forward']","Midfield, Forward",520900,95.84363923,98,97.46090981,
David Myers,Essendon,['Midfield'],Midfield,418300,71.2870249,,71.2870249,
David Swallow,Gold Coast,['Midfield'],Midfield,487500,87.06451613,86,86.26612903,
David Zaharakis,Essendon,['Midfield'],Midfield,509000,88.29431722,84,85.0735793,
Dawson Simpson,GWS,['Ruck'],Ruck,473500,80.8627451,,80.8627451,
Dayne Beams,Collingwood,['Midfield'],Midfield,557600,102.8330675,106,105.2082669,
Dayne Zorko,Brisbane,['Midfield'],Midfield,520200,103.0554493,103,103.0138623,
Dean Kent,St Kilda,['Forward'],Forward,278800,65.33333333,,65.33333333,
Declan Keilty,Melbourne,['Defender'],Defender,123900,44.69107885,,44.69107885,
Declan Watson,North Melbourne,['Defender'],Defender,123900,23.82692308,,23.82692308,
Derek Eggmolesse-Smith,Richmond,['Defender'],Defender,102400,19.69230769,,19.69230769,
Devon Smith,Essendon,"['Midfield', 'Forward']","Midfield, Forward",531300,88.24264706,102,98.56066176,
Dion Prestia,Richmond,['Midfield'],Midfield,482600,88.03017502,90,89.50754375,
Dom Tyson,North Melbourne,['Midfield'],Midfield,411000,81.63038334,,81.63038334,
Dominic Sheed,West Coast,['Midfield'],Midfield,394100,74.43490305,103,95.85872576,
Dougal Howard,Port Adelaide,['Defender'],Defender,389500,67.1248835,,67.1248835,
Doulton Langlands,St Kilda,"['Midfield', 'Forward']","Midfield, Forward",123900,23.82692308,,23.82692308,
Durak Tucker,Sydney,['Defender'],Defender,111400,21.42307692,,21.42307692,
Dustin Martin,Richmond,['Midfield'],Midfield,563800,109.1065266,111,110.5266317,
Dylan Buckley,GWS,['Forward'],Forward,165000,51.05491699,,51.05491699,
Dylan Clarke,Essendon,['Midfield'],Midfield,147700,34,,34,
Dylan Grimes,Richmond,['Defender'],Defender,335500,57.32693912,,57.32693912,
Dylan Moore,Hawthorn,['Forward'],Forward,123900,42.4149791,,42.4149791,
Dylan Roberton,St Kilda,['Defender'],Defender,297500,85.07306434,-1,0,
Dylan Shiel,Essendon,['Midfield'],Midfield,487000,95.32768362,105,102.5819209,
Dyson Heppell,Essendon,['Midfield'],Midfield,551500,101.8965004,100,100.4741251,
Easton Wood,Western Bulldogs,['Defender'],Defender,339700,70.22446916,,70.22446916,
Ed Langdon,Fremantle,['Midfield'],Midfield,447500,70.9259724,,70.9259724,
Ed Richards,Western Bulldogs,['Defender'],Defender,319500,58,,58,
Ed Vickers-Willis,North Melbourne,['Defender'],Defender,318300,61.26666667,,61.26666667,
Eddie Betts,Adelaide,['Forward'],Forward,363400,78.648334,,78.648334,
Edward Curnow,Carlton,['Midfield'],Midfield,552200,94.46319415,100,98.61579854,
Edward McHenry,Adelaide,[],,None,0,,0,
Edward Phillips,St Kilda,['Midfield'],Midfield,294500,60,,60,
Elliot Yeo,West Coast,['Midfield'],Midfield,585500,94.84612388,105,102.461531,
Elliott Himmelberg,Adelaide,['Forward'],Forward,269800,71,,71,
Ely Smith,Brisbane,['Midfield'],Midfield,117300,39.56521739,,39.56521739,
Eric Hipwood,Brisbane,['Forward'],Forward,281800,49.2688172,,49.2688172,
Esava Ratugolea,Geelong,['Forward'],Forward,295200,54,,54,
Ethan Hughes,Fremantle,['Defender'],Defender,233600,60.57575758,,60.57575758,
Fergus Greene,Western Bulldogs,['Forward'],Forward,202300,41,,41,
Finbar O'Dwyer,Carlton,['Forward'],Forward,117300,22.55769231,,22.55769231,
Fletcher Roberts,Western Bulldogs,['Defender'],Defender,195400,48.71220401,,48.71220401,
Flynn Appleby,Collingwood,['Defender'],Defender,281700,51,,51,
Francis Watson,West Coast,['Defender'],Defender,123900,67.34177215,,67.34177215,
Fraser McInnes,West Coast,['Ruck'],Ruck,226400,49.19170984,,49.19170984,
Fraser Turner,Richmond,['Midfield'],Midfield,117300,22.55769231,,22.55769231,
Gary Jnr Ablett,Geelong,['Midfield'],Midfield,580600,110.7247387,90,95.18118467,
Gary Rohan,Geelong,['Forward'],Forward,261600,59.79658952,,59.79658952,
George Hewett,Sydney,['Midfield'],Midfield,425200,70.68325792,,70.68325792,
George Horlin-Smith,Gold Coast,['Midfield'],Midfield,270300,64.67539267,,64.67539267,
Grant Birchall,Hawthorn,['Defender'],Defender,205200,81.43266725,,81.43266725,
Griffin Logue,Fremantle,['Defender'],Defender,164300,43,,43,
Gryan Miers,Geelong,['Forward'],Forward,123900,46.09188448,,46.09188448,
Guy Walker,Melbourne,"['Defender', 'Forward']","Defender, Forward",102400,19.69230769,,19.69230769,
Hamish Brayshaw,West Coast,['Midfield'],Midfield,123900,23.82692308,,23.82692308,
Hamish Hartlett,Port Adelaide,['Defender'],Defender,349200,82.94318182,,82.94318182,
Harley Bennell,Fremantle,['Midfield'],Midfield,167700,91.54054054,-1,0,
Harris Andrews,Brisbane,['Defender'],Defender,480100,73.20971867,,73.20971867,
Harrison Himmelberg,GWS,['Forward'],Forward,384200,63.73909717,,63.73909717,
Harrison Jones,Hawthorn,['Defender'],Defender,123900,70,,70,
Harrison Macreadie,Carlton,['Defender'],Defender,146800,38,,38,
Harrison Petty,Melbourne,['Defender'],Defender,160700,37,,37,
Harrison Wigg,Gold Coast,['Defender'],Defender,102400,19.69230769,,19.69230769,
Harry Cunningham,Sydney,['Midfield'],Midfield,410100,67.68927369,,67.68927369,
Harry Edwards,West Coast,['Ruck'],Ruck,103900,19.98076923,,19.98076923,
Harry McKay,Carlton,['Forward'],Forward,360800,64.57627119,,64.57627119,
Harry Morrison,Hawthorn,"['Midfield', 'Forward']","Midfield, Forward",350000,64.66037736,,64.66037736,
Harry Perryman,GWS,['Defender'],Defender,314200,53.26666667,,53.26666667,
Harry Reynolds,Sydney,['Defender'],Defender,102400,19.69230769,,19.69230769,
Harry Taylor,Geelong,['Defender'],Defender,262800,73.9261745,,73.9261745,
Hayden Ballantyne,Fremantle,['Forward'],Forward,266600,53.24864865,,53.24864865,
Hayden Crozier,Western Bulldogs,['Defender'],Defender,428900,66.8922007,,66.8922007,
Heath Grundy,Sydney,['Defender'],Defender,419000,75.12469831,,75.12469831,
Heath Shaw,GWS,['Defender'],Defender,492400,95.15232292,94,94.28808073,
Hugh Dixon,Fremantle,['Forward'],Forward,123900,23.82692308,,23.82692308,
Hugh Goddard,Carlton,['Defender'],Defender,159600,48.96491228,,48.96491228,
Hugh Greenwood,Adelaide,['Midfield'],Midfield,466600,84.67692308,80,81.16923077,
Hugh McCluggage,Brisbane,['Midfield'],Midfield,416800,66.82119205,,66.82119205,
Hunter Clark,St Kilda,['Defender'],Defender,293500,54,,54,
Ian Hill,GWS,"['Midfield', 'Forward']","Midfield, Forward",117300,22.55769231,,22.55769231,
Irving Mosquito,Essendon,"['Midfield', 'Forward']","Midfield, Forward",117300,22.55769231,,22.55769231,
Isaac Cumming,GWS,['Defender'],Defender,173700,40,,40,
Isaac Heeney,Sydney,"['Midfield', 'Forward']","Midfield, Forward",529200,89.70484581,105,101.1762115,
Isaac Quaynor,Collingwood,['Defender'],Defender,153300,36.06060606,,36.06060606,
Isaac Smith,Hawthorn,['Midfield'],Midfield,451100,83.38049144,,83.38049144,
Ivan Soldo,Richmond,['Ruck'],Ruck,304000,50.77192982,,50.77192982,
Izak Rankine,Gold Coast,['Forward'],Forward,198300,43.15109286,,43.15109286,
Jack Billings,St Kilda,['Forward'],Forward,437600,83.13503972,104,98.78375993,
Jack Bowes,Gold Coast,['Midfield'],Midfield,348100,57.9902439,,57.9902439,
Jack Buckley,GWS,"['Midfield', 'Forward']","Midfield, Forward",123900,23.82692308,,23.82692308,
Jack Bytel,St Kilda,['Midfield'],Midfield,117300,22.55769231,,22.55769231,
Jack Crisp,Collingwood,['Defender'],Defender,519900,88.27642276,94,92.56910569,
Jack Darling,West Coast,['Forward'],Forward,471700,78.61531804,85,83.40382951,
Jack Graham,Richmond,['Midfield'],Midfield,364100,68.38028169,,68.38028169,
Jack Gunston,Hawthorn,['Forward'],Forward,521400,92.18754689,90,90.54688672,
Jack Henry,Geelong,['Defender'],Defender,336100,61,,61,
Jack Higgins,Richmond,['Forward'],Forward,392700,72,,72,
Jack Hombsch,Gold Coast,['Defender'],Defender,275700,59.95677233,,59.95677233,
Jack Leslie,Gold Coast,['Defender'],Defender,250300,54.48504983,,54.48504983,
Jack Lonie,St Kilda,['Forward'],Forward,343500,58.98648649,,58.98648649,
Jack Lukosius,Gold Coast,['Forward'],Forward,202800,35.8158091,,35.8158091,
Jack Madgen,Collingwood,['Defender'],Defender,256500,52,,52,
Jack Maibaum,Sydney,['Defender'],Defender,123900,23.82692308,,23.82692308,
Jack Martin,Gold Coast,"['Midfield', 'Forward']","Midfield, Forward",439000,77.76251137,,77.76251137,
Jack Newnes,St Kilda,"['Midfield', 'Forward']","Midfield, Forward",356100,79.70731707,,79.70731707,
Jack Payne,Brisbane,['Defender'],Defender,123900,23.82692308,,23.82692308,
Jack Petruccelle,West Coast,['Forward'],Forward,123900,21,,21,
Jack Redden,West Coast,['Midfield'],Midfield,517400,84.91498881,84,84.2287472,
Jack Riewoldt,Richmond,['Forward'],Forward,504100,87.54172989,88,87.88543247,
Jack Ross,Richmond,['Midfield'],Midfield,117300,63.88670493,,63.88670493,
Jack Scrimshaw,Hawthorn,['Defender'],Defender,149800,46,,46,
Jack Silvagni,Carlton,"['Defender', 'Forward']","Defender, Forward",254400,49.49081365,,49.49081365,
Jack Sinclair,St Kilda,['Midfield'],Midfield,422600,71.40657698,,71.40657698,
Jack Steele,St Kilda,['Midfield'],Midfield,512600,86.35714286,96,93.58928571,
Jack Steven,St Kilda,['Midfield'],Midfield,513500,96.71016692,101,99.92754173,
Jack Trengove,Port Adelaide,['Defender'],Defender,235600,57.75912409,,57.75912409,
Jack Viney,Melbourne,['Midfield'],Midfield,449500,92.60066007,95,94.40016502,
Jack Watts,Port Adelaide,['Forward'],Forward,361100,73.5890411,,73.5890411,
Jack Ziebell,North Melbourne,['Forward'],Forward,458500,88.00038745,85,85.75009686,
Jackson Hately,GWS,['Midfield'],Midfield,148800,77.43828125,,77.43828125,
Jackson Macrae,Western Bulldogs,['Midfield'],Midfield,689700,108.9219392,114,112.7304848,
Jackson Nelson,West Coast,['Defender'],Defender,241000,44.20719312,,44.20719312,
Jackson Ross,Hawthorn,['Forward'],Forward,123900,46.33802817,,46.33802817,
Jackson Thurlow,Sydney,['Midfield'],Midfield,289700,61.40594059,,61.40594059,
Jackson Trengove,Western Bulldogs,['Defender'],Defender,400000,67.33880529,,67.33880529,
Jacob Allison,Brisbane,['Defender'],Defender,198300,53.89830508,,53.89830508,
Jacob Dawson,Gold Coast,['Midfield'],Midfield,237400,54,,54,
Jacob Heron,Gold Coast,"['Defender', 'Forward']","Defender, Forward",238200,43,,43,
Jacob Hopper,GWS,['Midfield'],Midfield,431100,72.76611694,,72.76611694,
Jacob Kennerley,Geelong,['Midfield'],Midfield,117300,22.55769231,,22.55769231,
Jacob Koschitzke,Hawthorn,"['Defender', 'Forward']","Defender, Forward",117300,22.55769231,,22.55769231,
Jacob Townsend,Richmond,['Forward'],Forward,278500,58.61461794,,58.61461794,
Jacob Weitering,Carlton,['Defender'],Defender,354400,65.18518519,,65.18518519,
Jade Gresham,St Kilda,['Forward'],Forward,429600,70.14113278,,70.14113278,
Jaeger O'Meara,Hawthorn,['Midfield'],Midfield,503200,85.97029703,100,96.49257426,
Jaidyn Stephenson,Collingwood,['Forward'],Forward,347400,64,,64,
Jake Aarts,Richmond,['Forward'],Forward,106900,20.55769231,,20.55769231,
