fullname,firstname,secondname,games,birthdate,position,scPrice,height,weight
Bailey Williams,Bailey,Williams,0,"2000,04,17","Forward,Ruck",117300,198,95
Bayley Fritsch,Bayley,Fritsch,23,"1996,12,06",Midfield,408400,188,81
Ben Ainsworth,Ben,Ainsworth,29,"1998,02,10",Forward,333200,178,78
Ben Brown,Ben,Brown,99,"1992,11,20",Forward,451100,200,101
Ben Cavarra,Ben,Cavarra,0,"1995,12,20",Forward,117300,173,72
Ben Crocker,Ben,Crocker,23,"1997,02,19",Forward,248600,188,83
Ben Cunnington,Ben,Cunnington,187,"1991,06,30",Midfield,522900,185,88
Ben Davis,Ben,Davis,0,"1997,05,19",Forward,123900,187,82
Ben Jacobs,Ben,Jacobs,90,"1992,01,09",Midfield,435500,185,85
Ben Jarvis,Ben,Jarvis,0,"2000,07,27","Forward,Ruck",117300,188,80
Ben Keays,Ben,Keays,28,"1997,02,23",Midfield,260600,185,82
Ben King,Ben,King,0,"2000,07,07",Forward,184800,202,87
Ben Long,Ben,Long,14,"1997,08,21",Forward,292600,182,74
Ben McEvoy,Ben,McEvoy,187,"1989,07,11",Ruck,553100,200,102
Ben McKay,Ben,McKay,1,"1997,12,24",Defender,123900,201,95
Ben McNiece,Ben,McNiece,10,"1992,03,22",Defender,297900,178,80
Ben Miller,Ben,Miller,0,"1999,08,31",Defender,123900,195,94
Ben Paton,Ben,Paton,3,"1998,10,19",Defender,237400,186,77
Ben Reid,Ben,Reid,142,"1989,04,29",Forward,299700,196,98
Ben Ronke,Ben,Ronke,18,"1997,12,18",Forward,350600,182,77
Ben Silvagni,Ben,Silvagni,0,"2000,05,07","Defender,Forward",117300,196,86
Benjamin Stratton,Benjamin,Stratton,169,"1989,03,01",Defender,320300,189,88
Billy Frampton,Billy,Frampton,1,"1996,11,20",Ruck,191100,200,96
Billy Gowers,Billy,Gowers,20,"1996,06,10",Forward,332200,187,87
Billy Longer,Billy,Longer,65,"1993,05,12",Ruck,260900,202,105
Billy Stretch,Billy,Stretch,38,"1996,09,08",Midfield,285000,180,77
Blake Acres,Blake,Acres,56,"1995,10,07","Midfield,Forward",480000,190,92
Blake Hardwick,Blake,Hardwick,44,"1997,02,05",Defender,403400,181,79
Blake Schlensog,Blake,Schlensog,0,"2000,09,25","Forward,Ruck",102400,195,90
Boyd Woodcock,Boyd,Woodcock,0,"2000,03,05","Midfield,Forward",117300,179,72
Brad Crouch,Brad,Crouch,61,"1994,01,14",Midfield,418000,186,85
Brad Ebert,Brad,Ebert,235,"1990,04,02",Midfield,471500,188,89
Bradley Hill,Bradley,Hill,127,"1993,07,09",Midfield,426700,181,78
Bradley Lynch,Bradley,Lynch,9,"1997,07,11","Defender,Forward",276300,187,79
Bradley Scheer,Bradley,Scheer,10,"1998,08,31","Midfield,Forward",294800,184,85
Bradley Sheppard,Bradley,Sheppard,154,"1991,05,23",Defender,418700,187,85
Brandan Parfitt,Brandan,Parfitt,34,"1998,04,27",Forward,434300,180,79
Brandon Ellis,Brandon,Ellis,153,"1993,08,03",Defender,387500,181,82
Brandon Matera,Brandon,Matera,119,"1992,03,11",Forward,333300,173,74
Brandon Starcevich,Brandon,Starcevich,4,"1999,07,24","Midfield,Forward",237000,187,85
Brandon White,Brandon,White,10,"1997,01,13",Defender,261400,188,85
Brandon Zerk-Thatcher,Brandon,Zerk-Thatcher,0,"1998,08,25",Defender,123900,195,78
Brayden Ainsworth,Brayden,Ainsworth,3,"1998,11,21",Midfield,234500,184,80
Brayden Crossley,Brayden,Crossley,10,"1999,08,16",Forward,270900,198,102
Brayden Fiorini,Brayden,Fiorini,26,"1997,08,22",Midfield,442200,186,83
Brayden Ham,Brayden,Ham,0,"1999,04,25",Forward,117300,181,70
Brayden Maynard,Brayden,Maynard,73,"1996,09,20",Defender,406800,189,90
Brayden Sier,Brayden,Sier,12,"1997,12,12",Midfield,435000,191,88
Braydon Preuss,Braydon,Preuss,8,"1995,06,16",Ruck,239900,206,109
Brendon Ah Chee,Brendon,Ah Chee,35,"1993,12,21",Forward,348800,188,89
Brennan Cox,Brennan,Cox,26,"1998,08,13",Forward,349800,193,96
Brent Daniels,Brent,Daniels,7,"1999,03,09",Forward,246400,170,72
Brett Bewley,Brett,Bewley,0,"1995,04,14",Midfield,117300,186,86
Brett Deledio,Brett,Deledio,261,"1987,04,18",Midfield,463800,188,88
Brodie Grundy,Brodie,Grundy,108,"1994,04,15",Ruck,708200,203,102
Brodie Riach,Brodie,Riach,0,"1998,05,31","Midfield,Forward",102400,,
Brodie Smith,Brodie,Smith,145,"1992,01,14",Defender,332500,189,90
Brody Mihocek,Brody,Mihocek,16,"1993,02,04",Forward,361000,192,94
Bryce Gibbs,Bryce,Gibbs,253,"1989,03,15",Midfield,523900,188,84
Buku Khamis,Buku,Khamis,0,"2000,03,24",Defender,102400,189,82
Cale Hooker,Cale,Hooker,175,"1988,10,13",Defender,421500,197,101
Caleb Daniel,Caleb,Daniel,74,"1996,07,07",Forward,418500,168,72
Caleb Graham,Caleb,Graham,0,"2000,09,12","Defender,Ruck",117300,194,90
Caleb Marchbank,Caleb,Marchbank,35,"1996,12,07",Defender,355600,193,90
Callan Ward,Callan,Ward,216,"1990,04,10",Midfield,568000,187,84
Callum Ah Chee,Callum,Ah Chee,44,"1997,10,09","Defender,Forward",300500,182,78
Callum Brown,Callum,Brown,0,"2000,08,15",Defender,102400,189,91
Callum Brown,Callum,Brown,13,"1998,04,27",Forward,322300,178,77
Callum Coleman-Jones,Callum,Coleman-Jones,0,"1999,06,13","Forward,Ruck",123900,200,97
Callum Mills,Callum,Mills,55,"1997,04,02",Defender,428900,188,82
Callum Moore,Callum,Moore,8,"1996,09,03",Forward,280100,193,92
Callum Porter,Callum,Porter,0,"1999,02,22",Midfield,123900,182,76
Callum Sinclair,Callum,Sinclair,87,"1989,09,23",Ruck,528000,200,96
Callum Wilkie,Callum,Wilkie,0,"1996,03,10",Defender,124900,191,87
Cameron Ellis-Yolmen,Cameron,Ellis-Yolmen,29,"1993,01,28",Midfield,449800,190,97
Cameron Guthrie,Cameron,Guthrie,141,"1992,08,19",Defender,346100,187,86
Cameron Hewett,Cameron,Hewett,0,"1997,02,26",Midfield,102400,189,82
Cameron McCarthy,Cameron,McCarthy,57,"1995,04,01",Forward,273300,192,92
Cameron Polson,Cameron,Polson,13,"1998,03,11",Forward,191800,177,76
Cameron Rayner,Cameron,Rayner,22,"1999,10,21",Forward,327700,187,87
Cameron Zurhaar,Cameron,Zurhaar,9,"1998,05,22",Forward,254100,189,90
Cedric Cox,Cedric,Cox,12,"1997,08,19",Defender,166100,183,80
Chad Wingard,Chad,Wingard,147,"1993,07,29","Midfield,Forward",481100,183,85
Changkuoth Jiath,Changkuoth,Jiath,0,"1999,06,13",Defender,123900,185,74
Charlie Ballard,Charlie,Ballard,11,"1999,07,23",Defender,241800,195,83
Charlie Cameron,Charlie,Cameron,84,"1994,07,05",Forward,387400,181,75
Charlie Constable,Charlie,Constable,0,"1999,05,18",Midfield,123900,191,86
Charlie Curnow,Charlie,Curnow,47,"1997,02,03",Forward,420400,194,91
Charlie Dixon,Charlie,Dixon,126,"1990,09,23",Forward,425300,200,108
Charlie Spargo,Charlie,Spargo,18,"1999,11,25",Forward,311200,173,71
Chayce Jones,Chayce,Jones,0,"2000,01,14",Midfield,171300,180,77
Chris Burgess,Chris,Burgess,0,"1995,11,26","Defender,Forward",123900,191,82
Chris Masten,Chris,Masten,198,"1989,05,02",Midfield,418800,180,80
Christian Petracca,Christian,Petracca,63,"1996,01,04","Midfield,Forward",442600,186,96
Christian Salem,Christian,Salem,70,"1995,07,15",Defender,445400,183,81
Christopher Mayne,Christopher,Mayne,196,"1988,11,02",Midfield,370400,188,84
Clayton Oliver,Clayton,Oliver,60,"1997,07,22",Midfield,622600,187,83
Colin O'Riordan,Colin,O'Riordan,3,"1995,10,12",Defender,250800,185,83
Connor Ballenden,Connor,Ballenden,0,"1999,03,29",Forward,123900,200,95
Connor Blakely,Connor,Blakely,46,"1996,03,02",Defender,461800,188,90
Connor Idun,Connor,Idun,0,"2000,07,29","Defender,Forward",117300,190,92
Connor McFadyen,Connor,McFadyen,0,"2000,12,04","Midfield,Forward",117300,190,92
Connor Menadue,Connor,Menadue,33,"1996,09,19",Defender,228600,187,80
Connor Nutting,Connor,Nutting,0,"1999,10,09","Defender,Forward",123900,187,79
Connor Rozee,Connor,Rozee,0,"2000,01,22","Defender,Forward",189300,185,73
Conor Glass,Conor,Glass,10,"1997,09,28",Defender,210100,189,84
Conor McKenna,Conor,McKenna,51,"1996,03,28",Defender,403800,184,84
Conor Nash,Conor,Nash,5,"1998,07,28",Forward,262200,197,93
Corey Ellis,Corey,Ellis,27,"1996,10,09","Defender,Midfield",233300,184,79
Corey Lyons,Corey,Lyons,0,"1998,05,31",Midfield,123900,184,83
Corey Maynard,Corey,Maynard,2,"1991,10,07",Midfield,238900,185,89
Corey Wagner,Corey,Wagner,8,"1997,03,23",Midfield,123900,181,78
Curtis Taylor,Curtis,Taylor,0,"2000,04,06","Midfield,Forward",117300,187,79
Dale Morris,Dale,Morris,252,"1982,12,29",Defender,287700,190,91
Dale Thomas,Dale,Thomas,238,"1987,06,21",Defender,462000,185,84
Damon Greaves,Damon,Greaves,0,"2000,04,25","Defender,Midfield",109900,186,75
Dan Houston,Dan,Houston,39,"1997,05,12",Defender,420500,187,89
Dane Rampe,Dane,Rampe,138,"1990,06,02",Defender,422400,189,86
Daniel Butler,Daniel,Butler,38,"1996,06,03",Forward,317000,182,80
Daniel Hannebery,Daniel,Hannebery,208,"1991,02,24",Midfield,326100,181,79
Daniel Howe,Daniel,Howe,50,"1995,12,04",Midfield,410000,191,86
Daniel Lloyd,Daniel,Lloyd,21,"1992,02,18",Forward,344700,187,86
Daniel McKenzie,Daniel,McKenzie,34,"1996,05,17",Defender,358300,184,83
Daniel McStay,Daniel,McStay,79,"1995,06,24",Forward,300900,195,98
Daniel Menzel,Daniel,Menzel,73,"1991,09,13",Forward,369100,190,90
Daniel Rich,Daniel,Rich,183,"1990,06,07",Defender,428200,185,88
Daniel Rioli,Daniel,Rioli,55,"1997,04,16",Forward,324600,179,76
Daniel Talia,Daniel,Talia,164,"1991,10,02",Defender,378500,197,98
Daniel Venables,Daniel,Venables,15,"1998,11,19",Forward,258800,187,83
Daniel Wells,Daniel,Wells,257,"1985,02,03",Forward,302900,181,84
Darcy Byrne-Jones,Darcy,Byrne-Jones,64,"1995,09,20",Defender,389600,180,76
Darcy Cameron,Darcy,Cameron,1,"1995,07,18",Ruck,135700,204,100
Darcy Fogarty,Darcy,Fogarty,10,"1999,09,25",Forward,242700,193,94
Darcy Fort,Darcy,Fort,0,"1993,08,06",Ruck,117300,205,98
Darcy Gardiner,Darcy,Gardiner,82,"1995,09,22",Defender,382400,193,90
Darcy Lang,Darcy,Lang,55,"1995,11,21","Midfield,Forward",327700,183,82
Darcy Macpherson,Darcy,Macpherson,17,"1997,10,29",Forward,293100,174,78
Darcy Moore,Darcy,Moore,54,"1996,01,25","Defender,Forward",239400,203,102
Darcy Parish,Darcy,Parish,55,"1997,07,25","Midfield,Forward",436100,180,80
Darcy Tucker,Darcy,Tucker,48,"1997,01,23",Midfield,327900,183,83
Darragh Joyce,Darragh,Joyce,2,"1997,04,23",Defender,123900,194,90
Darren Minchington,Darren,Minchington,28,"1993,12,09",Midfield,190900,179,81
David Armitage,David,Armitage,167,"1988,06,16","Midfield,Forward",423400,185,88
David Astbury,David,Astbury,107,"1991,02,26",Defender,377300,195,96
David Cuningham,David,Cuningham,16,"1997,03,30",Defender,250100,183,83
David MacKay,David,MacKay,202,"1988,07,25",Defender,362100,181,77
David Mirra,David,Mirra,7,"1991,03,20",Defender,339600,186,89
David Mundy,David,Mundy,294,"1985,07,20","Midfield,Forward",520900,192,91
David Myers,David,Myers,116,"1989,06,30",Midfield,418300,191,88
David Swallow,David,Swallow,117,"1992,11,19",Midfield,487500,185,86
David Zaharakis,David,Zaharakis,187,"1990,02,21",Midfield,509000,180,79
Dawson Simpson,Dawson,Simpson,39,"1989,02,17",Ruck,473500,210,109
Dayne Beams,Dayne,Beams,168,"1990,02,12",Midfield,557600,187,88
Dayne Zorko,Dayne,Zorko,144,"1989,02,09",Midfield,520200,175,78
Dean Kent,Dean,Kent,63,"1994,02,24",Forward,278800,179,86
Declan Keilty,Declan,Keilty,0,"1995,05,08",Defender,123900,194,95
Declan Watson,Declan,Watson,0,"1998,09,17",Defender,123900,191,87
Derek Eggmolesse-Smith,Derek,Eggmolesse-Smith,0,"1998,05,04",Defender,102400,180,76
Devon Smith,Devon,Smith,131,"1993,05,20","Midfield,Forward",531300,176,77
Dion Prestia,Dion,Prestia,130,"1992,10,12",Midfield,482600,175,82
Dom Tyson,Dom,Tyson,107,"1993,06,08",Midfield,411000,186,85
Dominic Sheed,Dominic,Sheed,78,"1995,04,10",Midfield,394100,185,87
Dougal Howard,Dougal,Howard,30,"1996,03,25",Defender,389500,199,95
Doulton Langlands,Doulton,Langlands,0,"1999,07,29","Midfield,Forward",123900,187,78
Durak Tucker,Durak,Tucker,0,"2000,02,09",Defender,111400,189,84
Dustin Martin,Dustin,Martin,201,"1991,06,26",Midfield,563800,187,92
Dylan Buckley,Dylan,Buckley,41,"1993,03,16",Forward,165000,179,75
Dylan Clarke,Dylan,Clarke,1,"1998,09,06",Midfield,147700,186,85
Dylan Grimes,Dylan,Grimes,127,"1991,07,16",Defender,335500,193,90
Dylan Moore,Dylan,Moore,0,"1999,08,04",Forward,123900,176,66
Dylan Roberton,Dylan,Roberton,128,"1991,06,21",Defender,297500,194,91
Dylan Shiel,Dylan,Shiel,135,"1993,03,09",Midfield,487000,182,82
Dyson Heppell,Dyson,Heppell,151,"1992,05,14",Midfield,551500,189,82
Easton Wood,Easton,Wood,137,"1989,09,04",Defender,339700,187,86
Ed Langdon,Ed,Langdon,46,"1996,02,01",Midfield,447500,182,78
Ed Richards,Ed,Richards,21,"1999,07,03",Defender,319500,185,79
Ed Vickers-Willis,Ed,Vickers-Willis,14,"1996,03,28",Defender,318300,190,86
Eddie Betts,Eddie,Betts,295,"1986,11,26",Forward,363400,174,74
Edward Curnow,Edward,Curnow,143,"1989,11,07",Midfield,552200,181,86
Edward Phillips,Edward,Phillips,7,"1998,03,29",Midfield,294500,187,80
Elliot Yeo,Elliot,Yeo,132,"1993,10,01",Midfield,585500,190,89
Elliott Himmelberg,Elliott,Himmelberg,1,"1998,06,04",Forward,269800,198,94
Ely Smith,Ely,Smith,0,"2000,09,13",Midfield,117300,188,87
Eric Hipwood,Eric,Hipwood,52,"1997,09,13",Forward,281800,203,90
Esava Ratugolea,Esava,Ratugolea,8,"1998,07,24",Forward,295200,197,102
Ethan Hughes,Ethan,Hughes,29,"1994,12,07",Defender,233600,187,88
Fergus Greene,Fergus,Greene,5,"1997,12,20",Forward,202300,187,75
Finbar O'Dwyer,Finbar,O'Dwyer,0,"2000,07,24",Forward,117300,191,75
Fletcher Roberts,Fletcher,Roberts,49,"1993,06,03",Defender,195400,196,92
Flynn Appleby,Flynn,Appleby,9,"1999,01,21",Defender,281700,187,82
Francis Watson,Francis,Watson,0,"1995,09,29",Defender,123900,187,79
Fraser McInnes,Fraser,McInnes,14,"1993,07,19",Ruck,226400,198,96
Fraser Turner,Fraser,Turner,0,"2000,12,26",Midfield,117300,187,76
Gary Jnr Ablett,Gary,Jnr Ablett,321,"1984,05,14",Midfield,580600,182,87
Gary Rohan,Gary,Rohan,106,"1991,06,07",Forward,261600,189,92
George Hewett,George,Hewett,71,"1995,12,29",Midfield,425200,188,83
George Horlin-Smith,George,Horlin-Smith,51,"1992,12,22",Midfield,270300,188,84
Grant Birchall,Grant,Birchall,245,"1988,01,28",Defender,205200,193,89
Griffin Logue,Griffin,Logue,13,"1998,04,13",Defender,164300,193,95
Gryan Miers,Gryan,Miers,0,"1999,03,30",Forward,123900,178,78
Guy Walker,Guy,Walker,0,"1995,09,12","Defender,Forward",102400,184,76
Hamish Brayshaw,Hamish,Brayshaw,0,"1998,02,09",Midfield,123900,187,90
Hamish Hartlett,Hamish,Hartlett,153,"1990,08,14",Defender,349200,183,85
Harley Bennell,Harley,Bennell,83,"1992,10,02",Midfield,167700,185,85
Harris Andrews,Harris,Andrews,76,"1996,12,11",Defender,480100,201,102
Harrison Himmelberg,Harrison,Himmelberg,40,"1996,05,08",Forward,384200,194,92
Harrison Jones,Harrison,Jones,0,"1999,03,15",Defender,123900,185,80
Harrison Macreadie,Harrison,Macreadie,8,"1998,04,11",Defender,146800,196,91
Harrison Petty,Harrison,Petty,1,"1999,11,12",Defender,160700,197,83
Harrison Wigg,Harrison,Wigg,0,"1996,10,16",Defender,102400,180,80
Harry Cunningham,Harry,Cunningham,104,"1993,12,06",Midfield,410100,182,77
Harry Edwards,Harry,Edwards,0,"2000,10,01",Ruck,103900,197,84
Harry McKay,Harry,McKay,15,"1997,12,24",Forward,360800,200,95
Harry Morrison,Harry,Morrison,22,"1998,11,12","Midfield,Forward",350000,180,76
Harry Perryman,Harry,Perryman,17,"1998,12,19",Defender,314200,184,80
Harry Reynolds,Harry,Reynolds,0,"2000,10,11",Defender,102400,190,75
Harry Taylor,Harry,Taylor,237,"1986,06,12",Defender,262800,195,94
Hayden Ballantyne,Hayden,Ballantyne,168,"1987,07,16",Forward,266600,173,79
Hayden Crozier,Hayden,Crozier,86,"1993,12,24",Defender,428900,185,79
Heath Grundy,Heath,Grundy,255,"1986,06,02",Defender,419000,192,105
Heath Shaw,Heath,Shaw,282,"1985,11,27",Defender,492400,183,86
Hugh Dixon,Hugh,Dixon,0,"1999,02,26",Forward,123900,194,95
Hugh Goddard,Hugh,Goddard,10,"1996,08,24",Defender,159600,197,96
Hugh Greenwood,Hugh,Greenwood,37,"1992,03,06",Midfield,466600,191,92
Hugh McCluggage,Hugh,McCluggage,40,"1998,03,03",Midfield,416800,185,83
Hunter Clark,Hunter,Clark,15,"1999,03,26",Defender,293500,186,79
Ian Hill,Ian,Hill,0,"2000,02,09","Midfield,Forward",117300,175,75
Irving Mosquito,Irving,Mosquito,0,"2000,08,24","Midfield,Forward",117300,176,63
Isaac Cumming,Isaac,Cumming,2,"1998,08,11",Defender,173700,184,80
Isaac Heeney,Isaac,Heeney,80,"1996,05,05","Midfield,Forward",529200,186,85
Isaac Quaynor,Isaac,Quaynor,0,"2000,01,15",Defender,153300,180,83
Isaac Smith,Isaac,Smith,181,"1988,12,30",Midfield,451100,188,83
Ivan Soldo,Ivan,Soldo,8,"1996,04,14",Ruck,304000,204,106
Izak Rankine,Izak,Rankine,0,"2000,04,23",Forward,198300,180,80
Jack Billings,Jack,Billings,85,"1995,08,18",Forward,437600,184,81
Jack Bowes,Jack,Bowes,27,"1998,01,26",Midfield,348100,187,82
Jack Buckley,Jack,Buckley,0,"1997,12,17","Midfield,Forward",123900,193,85
Jack Bytel,Jack,Bytel,0,"2000,03,14",Midfield,117300,189,82
Jack Crisp,Jack,Crisp,110,"1993,10,02",Defender,519900,190,91
Jack Darling,Jack,Darling,172,"1992,06,13",Forward,471700,191,95
Jack Graham,Jack,Graham,23,"1998,02,25",Midfield,364100,181,82
Jack Gunston,Jack,Gunston,172,"1991,10,16",Forward,521400,193,87
Jack Henry,Jack,Henry,22,"1998,08,29",Defender,336100,191,92
Jack Higgins,Jack,Higgins,20,"1999,03,19",Forward,392700,177,76
Jack Hombsch,Jack,Hombsch,98,"1993,03,07",Defender,275700,194,90
Jack Leslie,Jack,Leslie,28,"1995,04,27",Defender,250300,198,100
Jack Lonie,Jack,Lonie,50,"1996,08,13",Forward,343500,174,71
Jack Lukosius,Jack,Lukosius,0,"2000,08,09",Forward,202800,195,85
Jack Madgen,Jack,Madgen,4,"1993,04,25",Defender,256500,192,92
Jack Maibaum,Jack,Maibaum,0,"1998,03,27",Defender,123900,193,94
Jack Martin,Jack,Martin,81,"1995,01,29","Midfield,Forward",439000,186,82
Jack Newnes,Jack,Newnes,135,"1993,02,24","Midfield,Forward",356100,184,86
Jack Payne,Jack,Payne,0,"1999,10,15",Defender,123900,197,95
Jack Petruccelle,Jack,Petruccelle,3,"1999,04,12",Forward,123900,185,80
Jack Redden,Jack,Redden,188,"1990,12,09",Midfield,517400,190,85
Jack Riewoldt,Jack,Riewoldt,249,"1988,10,31",Forward,504100,193,92
Jack Ross,Jack,Ross,0,"2000,09,03",Midfield,117300,186,88
Jack Scrimshaw,Jack,Scrimshaw,4,"1998,09,04",Defender,149800,193,88
Jack Silvagni,Jack,Silvagni,43,"1997,12,17","Defender,Forward",254400,191,89
Jack Sinclair,Jack,Sinclair,64,"1995,02,12",Midfield,422600,180,82
Jack Steele,Jack,Steele,58,"1995,12,13",Midfield,512600,187,90
Jack Steven,Jack,Steven,176,"1990,03,28",Midfield,513500,180,84
Jack Trengove,Jack,Trengove,89,"1991,09,02",Defender,235600,186,85
Jack Viney,Jack,Viney,98,"1994,04,13",Midfield,449500,178,87
Jack Watts,Jack,Watts,172,"1991,03,26",Forward,361100,195,90
Jack Ziebell,Jack,Ziebell,188,"1991,02,28",Forward,458500,188,88
Jackson Hately,Jackson,Hately,0,"2000,10,21",Midfield,148800,190,82
Jackson Macrae,Jackson,Macrae,118,"1994,08,03",Midfield,689700,191,85
Jackson Nelson,Jackson,Nelson,42,"1996,03,15",Defender,241000,187,84
Jackson Ross,Jackson,Ross,0,"1999,06,22",Forward,123900,193,75
Jackson Thurlow,Jackson,Thurlow,46,"1994,03,28",Midfield,289700,191,88
Jackson Trengove,Jackson,Trengove,169,"1990,11,02",Defender,400000,197,97
Jacob Allison,Jacob,Allison,8,"1998,04,16",Defender,198300,194,87
Jacob Dawson,Jacob,Dawson,3,"1999,11,03",Midfield,237400,182,79
Jacob Heron,Jacob,Heron,8,"1999,12,10","Defender,Forward",238200,180,76
Jacob Hopper,Jacob,Hopper,44,"1997,02,06",Midfield,431100,187,87
Jacob Kennerley,Jacob,Kennerley,0,"2000,06,16",Midfield,117300,185,78
Jacob Koschitzke,Jacob,Koschitzke,0,"2000,07,11","Defender,Forward",117300,196,93
Jacob Townsend,Jacob,Townsend,47,"1993,06,20",Forward,278500,187,89
Jacob Weitering,Jacob,Weitering,56,"1997,11,23",Defender,354400,195,95
Jade Gresham,Jade,Gresham,62,"1997,08,24",Forward,429600,177,79
Jaeger O'Meara,Jaeger,O'Meara,71,"1994,02,23",Midfield,503200,183,83
Jaidyn Stephenson,Jaidyn,Stephenson,26,"1999,01,15",Forward,347400,188,77
Jake Aarts,Jake,Aarts,0,"1994,12,08",Forward,106900,180,76
Jake Carlisle,Jake,Carlisle,124,"1991,10,01",Defender,422100,201,104
Jake Kelly,Jake,Kelly,53,"1995,01,21",Defender,364900,190,89
Jake Kolodjashnij,Jake,Kolodjashnij,70,"1995,08,09",Defender,320000,193,94
Jake Lever,Jake,Lever,67,"1996,03,05",Defender,374600,195,92
Jake Lloyd,Jake,Lloyd,115,"1993,09,20",Defender,608200,180,79
Jake Long,Jake,Long,5,"1996,02,03",Midfield,217900,185,81
Jake Melksham,Jake,Melksham,156,"1991,08,29",Forward,400400,186,83
Jake Patmore,Jake,Patmore,0,"1999,01,29","Midfield,Forward",123900,181,72
Jake Stein,Jake,Stein,0,"1994,01,17",Defender,123900,195,94
Jake Stringer,Jake,Stringer,109,"1994,04,25",Forward,383800,192,92
Jake Tarca,Jake,Tarca,0,"2000,02,23",Forward,117300,175,74
Jake Waterman,Jake,Waterman,16,"1998,05,06",Forward,304700,191,92
Jamaine Jones,Jamaine,Jones,7,"1998,09,29",Forward,215700,180,81
James Aish,James,Aish,68,"1995,11,08","Defender,Midfield",370900,183,80
James Bell,James,Bell,0,"1999,02,10","Midfield,Forward",123900,183,79
James Cousins,James,Cousins,7,"1998,03,19",Midfield,219900,185,80
James Frawley,James,Frawley,207,"1988,09,20",Defender,364600,193,96
James Harmes,James,Harmes,69,"1995,10,05",Midfield,453800,185,86
James Jordan,James,Jordan,0,"2000,12,20","Defender,Midfield",117300,187,80
